title,MuDeP Arc Accuracy,MuDeP Span Accuracy,MuDeP Fscore (no postp),MuDeP Fscore,MuDeP Head Accuracy (no postp),MuDeP Head Accuracy,MuDeP Node Accuracy,len
01_Waltz in E flat Grande Valse Brillante Op.18,0.444444448,0.629629612,0.355140179,0.456140339,0.464285731,0.464285702,0.4909091,28
02_Moments Musicaux,0.645161271,0.935483873,0.482142866,0.606060624,0.625,0.625,0.666666687,33
03_Bagatelle 'Fur Elise' WoO.59,0.205882356,0.617647052,0.298507452,0.210526317,0.22857143,0.22857143,0.275362313,40
04_The Preludes Op.28 No.15,0.5625,0.59375,0.409448832,0.537313461,0.515151501,0.545454562,0.476923078,33
05_Turkish March,0.870967746,0.967741907,0.587155938,0.835820913,0.875,0.875,0.873015881,34
06_Blumenlied Op.39,0.264705896,0.205882356,0.387096763,0.277777791,0.285714298,0.285714298,0.347826093,36
07_Nocturne,0.202702701,0.32432431,0.251599133,0.210526317,0.226666674,0.213333338,0.389261752,76
08_Spinnerlied Op.14 No.4,0.516129017,0.612903237,0.456692904,0.492307693,0.46875,0.5,0.571428597,32
09_String Quartet in F major Op.3 No.5 Serenade,0.342857152,0.742857158,0.357142866,0.32432431,0.388888896,0.333333343,0.380281687,37
10_Wiegenlied,0.615384638,0.653846145,0.472727269,0.618181825,0.629629612,0.629629612,0.679245293,27
100_Sonate fur Klavier Nr.11 A dur K.331 K6.300i Mov.1,0.485714287,0.485714287,0.416107386,0.486486495,0.527777791,0.5,0.450704217,37
101_unknown,0.566037714,0.849056602,0.388692588,0.548672557,0.592592597,0.57407409,0.579439223,58
102_unknown,0.460317463,0.571428597,0.251162797,0.447761208,0.484375,0.46875,0.488188982,69
103_unknown,0.710526288,0.842105269,0.439560443,0.69135803,0.641025662,0.717948735,0.714285731,41
104_unknown,0.699999988,0.633333325,0.495726496,0.6875,0.709677398,0.709677398,0.737704933,32
105_unknown,0.540540516,0.864864886,0.456140339,0.545454562,0.552631557,0.552631557,0.573333323,38
106_unknown,0.510204077,0.448979586,0.37391305,0.5,0.479999989,0.519999981,0.474747479,53
107_unknown,0.529411793,0.470588237,0.590163946,0.540540516,0.611111104,0.555555582,0.571428597,18
108_unknown,0.589743614,0.666666687,0.441988945,0.585365832,0.600000024,0.600000024,0.518987358,41
109_unknown,0.672727287,0.690909088,0.337423325,0.64957267,0.678571463,0.678571403,0.67567569,60
11_Solvejgs Lied,0.25,0.699999988,0.306666672,0.227272734,0.24390243,0.243902445,0.283950627,46
110_unknown,0.829268277,0.902438998,0.485875696,0.786516845,0.833333373,0.833333313,0.831325293,46
111_unknown,0.941176474,0.941176474,0.633333325,0.809523821,0.944444478,0.944444418,0.914285719,23
112_unknown,0.892857134,0.821428597,0.550458729,0.838709652,0.896551728,0.896551728,0.842105269,32
113_unknown,0.75,0.611111104,0.49032259,0.736842096,0.756756783,0.756756783,0.753424644,38
114_unknown,0.777777791,0.555555582,0.538461566,0.758620679,0.785714328,0.785714269,0.763636351,29
115_unknown,0.233333334,0.600000024,0.365217388,0.238805965,0.322580636,0.258064508,0.27868852,35
116_unknown,0.743589759,0.743589759,0.490566045,0.731707335,0.75,0.75,0.734177232,41
117_unknown,0.418181807,0.345454544,0.322147638,0.359375,0.392857164,0.410714298,0.540540516,71
118_unknown,0.880952358,0.857142866,0.5,0.853932559,0.860465109,0.883720934,0.823529422,45
119_unknown,0.666666687,0.708333313,0.477272719,0.566666663,0.680000007,0.680000007,0.653061211,34
12_Anitras Dans,0.655172408,0.827586234,0.343283594,0.622950792,0.533333361,0.633333325,0.677966118,30
120_unknown,0.310344815,1,0.330097079,0.317460328,0.333333343,0.333333343,0.355932206,32
121_unknown,0.809523821,0.880952358,0.531645596,0.786516845,0.813953459,0.813953459,0.788235307,45
122_unknown,0.948717952,0.948717952,0.488095224,0.926829278,0.925000012,0.949999988,0.924050629,41
123_unknown,0.787878811,0.696969688,0.552845538,0.729729712,0.79411763,0.79411763,0.805970132,39
124_unknown,0.615384638,0.538461566,0.364485979,0.588235319,0.600000024,0.625,0.58227849,44
125_unknown,0.600000024,0.777777791,0.378151268,0.577319562,0.5,0.608695626,0.593406618,50
126_unknown,0.639999986,0.680000007,0.495412856,0.629629612,0.692307711,0.653846145,0.470588237,27
127_unknown,0.241379306,0.310344815,0.411764711,0.25,0.300000012,0.266666681,0.372881353,33
128_unknown,0.678571403,0.75,0.552380979,0.655737698,0.689655185,0.689655185,0.754385948,31
129_unknown,0.833333313,0.699999988,0.466165423,0.776119411,0.806451559,0.838709652,0.83606559,35
13_Traumerei,0.5,0.574999988,0.335195541,0.506024122,0.560975611,0.51219511,0.580246925,41
130_unknown,0.641025662,0.512820542,0.575757563,0.634146333,0.650000036,0.649999976,0.670886099,41
131_unknown,0.5,0.46875,0.351515144,0.485714287,0.515151501,0.515151501,0.538461566,36
132_unknown,0.37931034,0.586206913,0.28169015,0.380952388,0.400000036,0.400000006,0.440677971,32
133_unknown,0.75,0.675000012,0.520547926,0.696629226,0.756097555,0.756097555,0.765432119,47
134_unknown,0.571428597,0.885714293,0.389261752,0.545454562,0.583333313,0.583333313,0.577464759,40
135_unknown,0.538461566,0.769230783,0.439560443,0.5,0.481481493,0.518518507,0.471698105,28
136_unknown,0.688888907,0.777777791,0.370044053,0.639999986,0.695652187,0.695652187,0.714285731,53
137_unknown,0.521739125,0.456521749,0.375634521,0.510204077,0.510638297,0.53191489,0.483870953,50
138_unknown,0.600000024,0.699999988,0.439560443,0.581395328,0.585365832,0.609756112,0.728395045,44
139_unknown,0.775510192,0.836734712,0.377358496,0.722222209,0.75999999,0.779999971,0.74747473,57
14_Menuett No.2 in G maj,0.625,0.71875,0.491525412,0.617647052,0.636363626,0.636363626,0.630769253,34
140_unknown,0.840909064,0.863636374,0.615384638,0.817204297,0.844444454,0.844444454,0.80898875,47
141_unknown,0.800000012,0.800000012,0.457627118,0.736842096,0.807692349,0.807692289,0.70588237,30
142_unknown,0.363636374,0.318181813,0.408602148,0.313725501,0.391304344,0.347826093,0.533333361,27
143_unknown,0.704761922,0.666666687,0.221951216,0.682027638,0.669811308,0.698113203,0.729857802,110
144_unknown,0.864864886,0.837837815,0.554744542,0.814814806,0.868421078,0.868421078,0.866666675,42
145_unknown,0.764705896,0.941176474,0.576271176,0.684210539,0.722222209,0.722222209,0.771428585,19
146_unknown,0.479166657,0.3125,0.282208592,0.428571433,0.448979586,0.489795923,0.515463889,62
147_unknown,0.449999988,0.25,0.506024122,0.444444448,0.428571433,0.476190478,0.51219511,23
148_unknown,0.707317054,0.560975611,0.49710983,0.697674394,0.690476179,0.714285731,0.759036124,43
149_unknown,0.485714287,0.514285743,0.388888896,0.486486495,0.472222239,0.5,0.591549277,37
15_Aida Fernando Corena,0.200000003,0.600000024,0.36477986,0.210526317,0.305555552,0.222222224,0.422535211,39
150_unknown,0.604166687,0.833333313,0.342629492,0.5825243,0.591836751,0.612244904,0.649484515,53
151_unknown,0.962962985,0.962962985,0.527272701,0.885245919,0.892857194,0.964285731,0.945454538,32
152_unknown,0.847826064,0.826086938,0.441314548,0.842105269,0.765957415,0.851063848,0.817204297,47
153_unknown,0.862068951,0.931034505,0.526315808,0.825396836,0.866666734,0.866666675,0.881355941,32
155_unknown,0.625,0.699999988,0.467836261,0.59523809,0.609756052,0.609756112,0.666666687,42
156_unknown,0.319999993,0.319999993,0.510204077,0.327272713,0.576923072,0.346153855,0.352941185,28
157_unknown,0.735849082,0.830188692,0.5,0.727272749,0.740740776,0.740740716,0.738317728,55
158_unknown,0.517241359,0.5,0.344827592,0.5,0.525423706,0.525423706,0.60683763,64
159_unknown,0.909090936,0.787878811,0.440251559,0.885714293,0.911764681,0.911764681,0.895522416,35
16_William Tell Overture,0.519480526,0.480519474,0.241721854,0.518987358,0.525641024,0.525641024,0.580645144,79
160_unknown,0.285714298,0.45714286,0.478873253,0.297297299,0.333333343,0.305555552,0.492957741,37
161_unknown,0.819999993,0.639999986,0.593023241,0.756756783,0.80392158,0.823529422,0.811881185,59
162_unknown,0.857142866,0.714285731,0.521126747,0.826666653,0.833333313,0.861111104,0.830985904,38
163_unknown,0.448979586,0.53061223,0.280898869,0.442307681,0.459999979,0.460000008,0.383838385,53
164_unknown,0.608695626,0.434782594,0.366972476,0.410958916,0.625,0.625,0.659574449,48
165_unknown,0.360655725,0.44262296,0.257485032,0.353846163,0.370967746,0.370967746,0.430894315,67
166_unknown,0.703703701,0.555555582,0.453781515,0.666666687,0.714285731,0.714285731,0.654545426,31
167_unknown,0.838709652,0.806451619,0.539130449,0.818181813,0.84375,0.84375,0.90476191,33
168_unknown,0.642857134,0.619047642,0.345132738,0.551020384,0.534883738,0.627906978,0.647058845,54
17_Carmen,0.375,0.78125,0.400000006,0.366197169,0.393939406,0.393939406,0.492307693,37
170_unknown,0.473684222,0.631578922,0.414634138,0.465116292,0.5,0.5,0.487179488,22
171_unknown,0.526315808,0.526315808,0.371134013,0.458333343,0.5,0.550000012,0.512820542,27
172_unknown,0.696969688,0.696969688,0.421768695,0.657534242,0.70588237,0.70588237,0.686567187,38
173_unknown,0.741176486,0.741176486,0.249230772,0.711111128,0.732558131,0.744186044,0.748538017,93
174_unknown,0.870967746,0.645161271,0.611111104,0.835820913,0.875,0.875,0.90476191,34
175_unknown,0.461538464,0.5,0.495412856,0.419354826,0.555555582,0.481481493,0.377358496,34
176_unknown,0.6875,0.71875,0.512820542,0.656716406,0.666666687,0.666666687,0.55384618,33
177_unknown,0.5,0.483870953,0.350453168,0.460431665,0.523809552,0.507936537,0.632000029,75
178_unknown,0.571428597,0.600000024,0.489208639,0.538461566,0.555555582,0.583333313,0.661971807,41
179_unknown,0.974358976,0.846153855,0.525641024,0.951219499,0.975000024,0.975000024,0.974683523,41
18_Thais Meditation,0.184210524,0.552631557,0.284090906,0.177215189,0.179487184,0.179487184,0.246753246,39
180_unknown,0.128205135,0.538461566,0.300000012,0.144578308,0.25,0.150000006,0.177215189,42
181_unknown,0.685714304,0.685714304,0.524822712,0.684931517,0.638888896,0.694444418,0.535211265,36
182_unknown,0.666666687,0.615384638,0.426229507,0.620689631,0.699999988,0.675000012,0.58227849,46
183_unknown,0.619047642,0.539682567,0.400000006,0.567375898,0.625,0.625,0.708661437,76
184_unknown,0.617647052,0.676470578,0.365591407,0.602739751,0.628571451,0.628571451,0.652173936,37
185_unknown,0.689655185,0.793103456,0.538461566,0.65625,0.700000048,0.699999988,0.661016941,33
186_unknown,0.916666687,0.861111104,0.627118647,0.894736826,0.918918967,0.918918908,0.931506872,38
187_unknown,0.551020384,0.755102038,0.305084735,0.495575219,0.539999962,0.560000002,0.565656543,62
188_unknown,0.707317054,0.634146333,0.523489952,0.689655185,0.714285731,0.714285731,0.686747015,44
189_unknown,0.854166687,0.854166687,0.380952388,0.819999993,0.755102038,0.836734712,0.824742258,50
19_Tannhauser Overture,0.583333313,0.458333343,0.421052635,0.549019635,0.519999981,0.560000002,0.551020384,25
190_unknown,0.878048778,0.902438998,0.390909106,0.847058833,0.857142866,0.857142866,0.843373477,42
191_unknown,0.666666687,0.800000012,0.680851042,0.611111104,0.6875,0.6875,0.709677398,19
192_unknown,0.771428585,0.742857158,0.521739125,0.69135803,0.75,0.777777791,0.760563374,44
193_unknown,0.814814806,0.814814806,0.577319562,0.758620679,0.785714328,0.785714269,0.781818211,29
194_unknown,0.333333343,0.814814806,0.397260278,0.344827592,0.535714328,0.357142866,0.436363637,29
195_unknown,0.722222209,0.75,0.38271606,0.701298714,0.756756783,0.729729712,0.698630154,39
196_unknown,0.958333313,1,0.527472556,0.867924511,0.919999957,0.920000017,0.959183693,27
197_unknown,0.666666687,0.600000024,0.612244904,0.647058845,0.6875,0.6875,0.645161271,17
198_unknown,0.857142866,0.857142866,0.502994001,0.827586234,0.813953459,0.837209284,0.835294127,43
199_unknown,0.255319148,0.574468076,0.344000012,0.257425755,0.291666687,0.270833343,0.442105263,52
20_La Traviata Brindisi,0.400000006,0.439999998,0.373983741,0.407407403,0.423076928,0.423076928,0.431372553,27
200_unknown,0.48888889,0.477777779,0.295857996,0.486486495,0.483516484,0.494505495,0.309392273,93
201_unknown,0.531645596,0.670886099,0.2591241,0.534161508,0.487500012,0.537500024,0.572327018,80
202_unknown,0.911111116,1,0.528089881,0.893617034,0.891304374,0.913043499,0.934065938,47
203_unknown,0.714285731,0.642857134,0.459016383,0.666666687,0.758620679,0.724137902,0.736842096,33
204_unknown,0.471698105,0.698113203,0.255319148,0.448275864,0.5,0.481481493,0.551401854,61
205_unknown,0.686274529,0.941176474,0.327160507,0.666666687,0.596153855,0.673076928,0.776699007,52
206_unknown,0.571428597,0.428571433,0.395348847,0.531645596,0.611111104,0.583333313,0.633802831,42
207_unknown,0.289473683,0.868421078,0.335483879,0.300000012,0.333333343,0.307692319,0.44155845,40
208_unknown,0.743589759,0.717948735,0.414893627,0.740740716,0.699999988,0.75,0.734177232,40
209_unknown,0.483870953,0.612903237,0.44094488,0.477611929,0.53125,0.5,0.476190478,34
21_Plaisir d'Amour,0.5,0.590909064,0.421052635,0.470588237,0.521739125,0.521739125,0.533333361,27
210_unknown,0.606060624,0.606060624,0.485714287,0.575342476,0.617647052,0.617647052,0.641791046,38
211_unknown,0.857142866,0.771428585,0.560606062,0.826666653,0.861111104,0.861111104,0.85915494,38
212_unknown,0.647058845,0.529411793,0.584615409,0.558139563,0.666666687,0.666666687,0.742857158,24
213_unknown,0.366666675,0.533333361,0.440677971,0.375,0.354838699,0.387096763,0.44262296,32
214_unknown,0.800000012,0.714285731,0.415730327,0.783783793,0.777777791,0.805555582,0.718309879,37
215_unknown,0.924528301,0.924528301,0.514285743,0.917431176,0.944444478,0.92592591,0.915887833,54
216_unknown,0.75757575,0.666666687,0.57407409,0.732394338,0.764705896,0.764705896,0.731343269,36
217_unknown,0.304347813,0.565217376,0.339622647,0.307692319,0.333333343,0.333333343,0.319148928,27
218_unknown,0.576923072,0.769230783,0.419354826,0.545454562,0.592592597,0.555555582,0.509433985,27
219_unknown,0.407407403,0.518518507,0.475247532,0.421052635,0.5,0.428571433,0.545454562,28
22_Ellens Gesang III Op.52-6 D.839,0.303030312,0.75757575,0.435483873,0.305555552,0.323529422,0.323529422,0.417910457,37
220_unknown,0.56410259,0.512820542,0.388888896,0.516853929,0.574999988,0.574999988,0.721518993,48
221_unknown,0.625,0.5,0.586206913,0.578947365,0.647058845,0.647058845,0.545454562,20
222_unknown,0.92592591,1,0.690476179,0.852459013,0.928571463,0.928571403,0.945454538,32
223_unknown,0.454545468,0.636363626,0.357894748,0.400000006,0.434782624,0.434782594,0.444444448,26
224_unknown,0.5,0.388888896,0.579710126,0.512820542,0.526315808,0.526315808,0.729729712,19
225_unknown,0.460000008,0.340000004,0.33561644,0.461538464,0.470588267,0.470588237,0.475247532,52
226_unknown,0.766666651,0.666666687,0.609523833,0.738461554,0.774193525,0.774193525,0.803278685,33
227_unknown,0.818181813,0.954545438,0.424242437,0.808510661,0.826086998,0.826086938,0.822222233,23
228_unknown,0.375,0.375,0.421052635,0.392156869,0.479999989,0.400000006,0.510204077,25
229_unknown,0.814814806,0.592592597,0.59523809,0.793103456,0.821428597,0.821428597,0.818181813,29
23_Die Meistersinger von Nurnberg Prelude,0.442307681,0.576923072,0.362934351,0.440366983,0.452830195,0.452830195,0.504761934,55
230_unknown,0.59523809,0.476190478,0.441025645,0.584269643,0.581395328,0.604651153,0.600000024,45
231_unknown,0.636363626,0.636363626,0.46808511,0.518518507,0.5,0.583333313,0.478260875,14
232_unknown,0.512820542,0.43589744,0.450549453,0.493827164,0.450000018,0.5,0.430379748,40
233_unknown,0.611111104,0.638888896,0.503401339,0.605263174,0.648648679,0.621621609,0.602739751,38
234_unknown,0.636363626,0.772727251,0.585365832,0.588235319,0.695652187,0.652173936,0.622222245,27
235_unknown,0.673076928,0.826923072,0.360544205,0.666666687,0.603773594,0.679245293,0.72380954,54
